company,website,state,careers_url,segment,tier,sheet_verified,notes
AppFolio,https://www.appfolio.com,California,https://www.appfolio.com/company/careers,Property Management Software,A,TRUE,"30+ open roles; ATS is Jobvite (appfolio-internal), NOT Greenhouse; 30 live roles 2026-09-23"
Yardi Systems,https://www.yardi.com,California,https://www.yardi.com/careers,Property Management Software,A,TRUE,
Procore Technologies,https://www.procore.com,California,https://www.procore.com/careers,Construction Tech,B,TRUE,
Matterport,https://matterport.com,California,https://matterport.com/careers,3D Space Capture / Real Estate Media,B,TRUE,
Measurabl,https://measurabl.com,California,https://measurabl.com/careers,ESG/Sustainability Data for CRE,B,TRUE,
Placer.ai,https://www.placer.ai,California,https://www.placer.ai/careers,Foot Traffic / Location Analytics,B,TRUE,
Roofstock,https://www.roofstock.com,California,https://www.roofstock.com/careers,SFR Investment Marketplace,A,FALSE,
Doma,https://www.doma.com,California,https://www.doma.com/careers,Title Insurance / Mortgage Tech,B,FALSE,
Blend Labs,https://www.blend.com,California,https://blend.com/careers,Mortgage/Lending Software,B,TRUE,
Point,https://www.point.com,California,https://www.point.com/careers,Home Equity Fintech,B,FALSE,
Zumper,https://www.zumper.com,California,https://www.zumper.com/careers,Rental Marketplace,A,FALSE,
Apartment List,https://www.apartmentlist.com,California,https://www.apartmentlist.com/careers,Rental Marketplace,A,FALSE,
Hemlane,https://www.hemlane.com,California,https://www.hemlane.com/careers,Property Management Software,A,FALSE,
Pacaso,https://www.pacaso.com,California,https://www.pacaso.com/careers,Co-Ownership / Second Homes,B,FALSE,
Crexi,https://www.crexi.com,California,https://www.crexi.com/careers,CRE Marketplace & Data,B,FALSE,
Kiavi,https://www.kiavi.com,California,https://www.kiavi.com/careers,Real Estate Investor Lending,A,TRUE,"now a Figure Technology Solutions subsidiary (per kiavi.com footer, 9/2026)"
Side,https://www.side.com,California,https://www.side.com/careers,Real Estate Brokerage Platform,B,FALSE,
HouseCanary,https://www.housecanary.com,California,https://www.housecanary.com/careers,Real Estate Valuation/AVM Data,A,FALSE,
HomeLight,https://www.homelight.com,California,https://www.homelight.com/careers,Agent Matching / Real Estate Marketplace,B,FALSE,
Snapdocs,https://www.snapdocs.com,California,https://www.snapdocs.com/careers,Digital Mortgage Closing Platform,B,FALSE,
RentSpree,https://www.rentspree.com,California,https://www.rentspree.com/careers,Tenant Screening Software,A,FALSE,
Realtor.com (Move Inc.),https://www.realtor.com,California,https://www.move.com/careers,Real Estate Listings Marketplace,B,TRUE,
Auction.com,https://www.auction.com,California,https://www.auction.com/careers,Real Estate Auction Platform,B,FALSE,
RealPage,https://www.realpage.com,Texas,https://www.realpage.com/careers,Property Management Data & Software,A,TRUE,DOJ litigation - talent churn angle
ResMan,https://myresman.com,Texas,https://myresman.com/careers,Property Management Software,A,FALSE,
Homeward,https://www.homeward.com,Texas,https://www.homeward.com/careers,Cash-Offer / Mortgage Fintech,B,FALSE,
Steadily,https://www.steadily.com,Texas,https://www.steadily.com/careers,Landlord Insurance,A,TRUE,
Closinglock,https://www.closinglock.com,Texas,https://www.closinglock.com/careers,Wire Fraud Prevention for RE Closings,B,FALSE,
CertifID,https://www.certifid.com,Texas,https://www.certifid.com/careers,Wire Fraud Prevention / Identity Verification,B,FALSE,
Luxury Presence,https://www.luxurypresence.com,Texas,https://www.luxurypresence.com/careers,Real Estate Agent Marketing Platform,B,FALSE,
GreenLite,https://www.greenlite.ai,Texas,https://www.greenlite.ai/careers,AI Permitting & Compliance,B,FALSE,WRONG COMPANY: greenlite.ai is an AML/fincrime startup (Bretton AI). Excluded - confirm intended permitting company
Worksmith,https://www.worksmith.com,Texas,https://www.worksmith.com/careers,Retail/CRE Facilities Marketplace,B,FALSE,
Ownwell,https://www.ownwell.com,Texas,https://www.ownwell.com/careers,Property Tax Appeal Platform,B,FALSE,
Ojo Labs,https://www.ojolabs.com,Texas,https://www.ojolabs.com/careers,AI Real Estate Assistant,B,FALSE,
Opcity (Realtor.com),https://www.opcity.com,Texas,https://www.move.com/careers,Real Estate Lead Conversion Platform,B,FALSE,dup of Move careers
Compass,https://www.compass.com,New York,https://www.compass.com/careers,Real Estate Brokerage Tech,B,TRUE,
VTS,https://www.vts.com,New York,https://www.vts.com/careers,Commercial Real Estate Leasing Platform,B,TRUE,
ButterflyMX,https://www.butterflymx.com,New York,https://www.butterflymx.com/careers,Smart Access / Intercom Systems,A,TRUE,
Guesty,https://www.guesty.com,New York,https://www.guesty.com/careers,Short-Term Rental Management Software,A,TRUE,
Rhino,https://www.sayrhino.com,New York,https://careers.sayrhino.com,Security Deposit Insurance,A,TRUE,careers page moved to careers.sayrhino.com (sheet URL 403s)
Bilt Rewards,https://www.biltrewards.com,New York,https://www.biltrewards.com/careers,Rent Rewards / Resident Fintech,A,FALSE,
CompStak,https://www.compstak.com,New York,https://www.compstak.com/careers,CRE Comparable Data Platform,B,TRUE,
Cadre,https://www.cadre.com,New York,https://www.cadre.com/careers,CRE Investment Platform,B,FALSE,
SquareFoot,https://www.squarefoot.com,New York,https://www.squarefoot.com/careers,Commercial Office Brokerage Tech,B,FALSE,
Latch,https://www.latch.com,New York,https://www.latch.com/careers,Smart Access for Multifamily,A,FALSE,
Agora,https://www.agorareal.com,New York,https://www.agorareal.com/careers,Real Estate Investment Management SaaS,B,FALSE,sheet URL agora-re.com had DNS error
Cherre,https://www.cherre.com,New York,https://www.cherre.com/careers,Real Estate Data Integration Platform,A,TRUE,
Enertiv,https://www.enertiv.com,New York,https://www.enertiv.com/careers,Building Energy Management,B,FALSE,
Bowery Valuation,https://www.boweryvaluation.com,New York,https://www.boweryvaluation.com/careers,AI-Powered Appraisal Software,B,FALSE,
Obligo,https://www.myobligo.com,New York,https://www.myobligo.com/careers,Security Deposit Alternative,A,TRUE,
TheGuarantors,https://www.theguarantors.com,New York,https://www.theguarantors.com/careers,Lease Insurance / Insurtech,A,TRUE,
