company,title,location,url,link_status,link_http,posted_at,first_seen,days_open,role_group,focus,ats,segment,state,tier,job_key
Boom,Associate Product Manager,"Austin, TX",https://www.linkedin.com/jobs/view/4441018131/,not checked (out of scope),0,2026-07-21,2026-09-24,0,,product,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4441018131
Boom,Commercial Lead - AE,"Austin, TX",https://www.linkedin.com/jobs/view/4466914967/,live,200,2026-09-18,2026-09-24,0,sales,,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4466914967
Boom,Customer Success Manager,"Austin, TX",https://www.linkedin.com/jobs/view/4384724382/,live,200,2026-09-21,2026-09-24,0,gtm,customer,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4384724382
Boom,Director of Support,"Austin, TX",https://www.linkedin.com/jobs/view/4421186535/,not checked (out of scope),0,2026-09-21,2026-09-24,0,,customer,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4421186535
Boom,GTM - Senior Business Development Representative,"Austin, TX",https://www.linkedin.com/jobs/view/4466627132/,live,200,2026-09-17,2026-09-24,0,sales,sales,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4466627132
Boom,Product Designer,"Austin, TX",https://www.linkedin.com/jobs/view/4462550286/,not checked (out of scope),0,2026-09-08,2026-09-24,0,,,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4462550286
Boom,Software Engineer,"Austin, TX",https://www.linkedin.com/jobs/view/4465246772/,live,200,2026-09-14,2026-09-24,0,engineering,eng,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4465246772
Haven,Founding Engineer,,https://www.ycombinator.com/companies/haven-2/jobs/MUGkU8h-founding-engineer,live,200,,2026-09-24,0,engineering,eng,generic,AI Workforce for Property Management,New York,A,generic:haven-yc:https://www.ycombinator.com/companies/haven-2/jobs/MUGkU8h-founding-engineer
Reffie,Client Success Manager Austin,,https://careers.reffie.me/client-success-manager-austin,live,200,,2026-09-24,0,gtm,,generic,AI Leasing Workflow,Texas,A,generic:reffie:https://careers.reffie.me/client-success-manager-austin
Second Nature,Account Executive,"Remote, USA",https://jobs.ashbyhq.com/second-nature/fa47f83c-52db-4df3-960c-7e2125bdccf6,live,200,2026-09-10,2026-09-24,0,sales,sales,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:fa47f83c-52db-4df3-960c-7e2125bdccf6
Second Nature,Director of User Experience,"Remote, USA",https://jobs.ashbyhq.com/second-nature/8cfd0a20-5b07-41d3-a527-286aa7648142,not checked (out of scope),0,2026-09-10,2026-09-24,0,,leadership,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:8cfd0a20-5b07-41d3-a527-286aa7648142
Second Nature,Sales Development Representative,"Remote, USA",https://jobs.ashbyhq.com/second-nature/8f23e4ba-54fc-43ce-8744-8629a09f93ae,live,200,2026-08-03,2026-09-24,0,sales,sales,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:8f23e4ba-54fc-43ce-8744-8629a09f93ae
Second Nature,Senior Product Manager,"Remote, USA",https://jobs.ashbyhq.com/second-nature/7bcc5b24-5b17-4297-839f-e849b9a90c97,not checked (out of scope),0,2026-07-16,2026-09-24,0,,product,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:7bcc5b24-5b17-4297-839f-e849b9a90c97
