company,title,location,url,link_status,link_http,posted_at,first_seen,days_open,role_group,focus,ats,segment,state,tier,job_key
Boom,Customer Success Manager,"Austin, TX",https://www.linkedin.com/jobs/view/4384724382/,live,200,2026-09-21,2026-09-24,0,gtm,customer,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4384724382
Boom,GTM - Senior Business Development Representative,"Austin, TX",https://www.linkedin.com/jobs/view/4466627132/,live,200,2026-09-17,2026-09-24,0,sales,sales,linkedin,Rent Reporting / Screening / Leasing CRM,Texas,A,linkedin:boompay:4466627132
Haven,Founding Engineer,,https://www.ycombinator.com/companies/haven-2/jobs/MUGkU8h-founding-engineer,live,200,,2026-09-24,0,engineering,eng,generic,AI Workforce for Property Management,New York,A,generic:haven-yc:https://www.ycombinator.com/companies/haven-2/jobs/MUGkU8h-founding-engineer
Reffie,Client Success Manager Austin,,https://careers.reffie.me/client-success-manager-austin,live,200,,2026-09-24,0,gtm,,generic,AI Leasing Workflow,Texas,A,generic:reffie:https://careers.reffie.me/client-success-manager-austin
Second Nature,Account Executive,"Remote, USA",https://jobs.ashbyhq.com/second-nature/fa47f83c-52db-4df3-960c-7e2125bdccf6,live,200,2026-09-10,2026-09-24,0,sales,sales,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:fa47f83c-52db-4df3-960c-7e2125bdccf6
Second Nature,Sales Development Representative,"Remote, USA",https://jobs.ashbyhq.com/second-nature/8f23e4ba-54fc-43ce-8744-8629a09f93ae,live,200,2026-08-03,2026-09-24,0,sales,sales,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:8f23e4ba-54fc-43ce-8744-8629a09f93ae
Second Nature,Senior/Staff Software Engineer (Backend-focused),"Remote, USA",https://jobs.ashbyhq.com/second-nature/88fc670b-d2ff-46a9-af53-280037931613,live,200,2026-09-24,2026-09-24,0,engineering,eng,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:88fc670b-d2ff-46a9-af53-280037931613
Second Nature,"Staff Software Engineer, Engineering Systems & Automation","Remote, USA",https://jobs.ashbyhq.com/second-nature/30798d80-7661-4ad4-8c0a-1245b119b317,live,200,2026-08-25,2026-09-24,0,engineering,eng,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:30798d80-7661-4ad4-8c0a-1245b119b317
Second Nature,"Staff Software Engineer, Integrations Team","Remote, USA",https://jobs.ashbyhq.com/second-nature/2b92ffd7-dd45-45db-8def-8b13d0281c36,live,200,2026-08-02,2026-09-24,0,engineering,eng,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:2b92ffd7-dd45-45db-8def-8b13d0281c36
Second Nature,"VP, Product","Remote, USA",https://jobs.ashbyhq.com/second-nature/124ce02b-b6c7-4f93-97ed-aa8787fd20e4,live,200,2026-09-17,2026-09-24,0,executive,,ashby,Resident Benefits / Property Management SaaS,Tennessee,A,ashby:second-nature:124ce02b-b6c7-4f93-97ed-aa8787fd20e4
Two Dots,Account Executive,Santa Monica,https://jobs.lever.co/twodots/77be9b0c-d628-4919-a98c-c792617f7163,open per job board; link check failed (HTTP 404),404,2023-07-09,2026-09-24,0,sales,sales,lever,AI Tenant Screening / Underwriting,California,A,lever:twodots:77be9b0c-d628-4919-a98c-c792617f7163
Two Dots,Customer Success Associate,Santa Monica,https://jobs.lever.co/twodots/72be4c60-2ce7-4f83-b837-d8c840c34de9,open per job board; link check failed (HTTP 404),404,2023-07-16,2026-09-24,0,gtm,customer,lever,AI Tenant Screening / Underwriting,California,A,lever:twodots:72be4c60-2ce7-4f83-b837-d8c840c34de9
Two Dots,Customer Success Lead,Santa Monica,https://jobs.lever.co/twodots/4b12f49a-486d-42ca-9deb-503f53a15cb8,open per job board; link check failed (HTTP 404),404,2023-07-09,2026-09-24,0,gtm,customer,lever,AI Tenant Screening / Underwriting,California,A,lever:twodots:4b12f49a-486d-42ca-9deb-503f53a15cb8
